Epoch  Time  Train_L2_step Train_L2_full Test_L2_step Test_L2_full 
0 111.354057115037 0.7312148811295629 0.7306575527181849 0.9457109309732914 0.9387257844209671
1 111.81313847284764 0.7074610900133849 0.7072319695726037 0.9390660151839256 0.9335781573317945
2 111.92714182334021 0.7031541628763079 0.7030453836778179 0.9359136261045933 0.9317140951752663
3 111.93059035530314 0.7011830264702439 0.7011172198690474 0.9393776655197144 0.9362771008163691
4 111.93228947371244 0.6860554592683912 0.6867677092086524 0.8821762561798095 0.8746475237421691
5 111.95151027711108 0.6339858138002455 0.6362831511069089 0.8073883324861526 0.8041693158447742
6 111.93092346191406 0.6003281181678176 0.6031833417946473 0.7627814177423715 0.7599918898195028
7 111.93176574725658 0.5842987928539515 0.5874994263285771 0.7524297636002302 0.7474928391166031
8 111.94474956579506 0.5742346639744937 0.578138513257727 0.7794038187712431 0.7740344195626676
9 111.91745657287538 0.5624501994810999 0.5662057349691167 0.7411726925522089 0.7385214846581221
10 111.93321668729186 0.5546177200041711 0.5583597085205838 0.730493038147688 0.7333071040920913
11 111.92753747059032 0.5558857296593487 0.5593768617836758 0.7636874932795763 0.7645477084442973
12 111.91384477121755 0.5499818471260369 0.5541302628116682 0.7307208098471165 0.7318008304573596
13 111.93553572101519 0.5460950844921172 0.5498184085590765 0.7246645517647267 0.7282628882676363
14 111.91530469991267 0.5449439935386181 0.5489427946740761 0.735353610292077 0.7334453132934868
