Epoch  Time  Train_L2_step Train_L2_full Test_L2_step Test_L2_full 
0 400.98985398421064 0.1651537304719289 0.16714204389850298 0.16256087084611257 0.16590075835585594
1 401.0081165181473 0.11825338308678733 0.12064742184678713 0.12074169774850209 0.1234112472832203
2 401.03324576700106 0.10297232753038406 0.10628871153791745 0.10512374391158423 0.1088863642513752
3 401.0659250100143 0.09627821065319908 0.10004035866260529 0.10032802691062291 0.10477331131696702
4 401.09630489116535 0.09284657527340784 0.0967407374382019 0.09740006556113562 0.10177693247795105
5 400.92546675307676 0.09036529717842738 0.094414992471536 0.09859178980191548 0.10316724359989166
6 400.71016883384436 0.08855625234047572 0.09262022753556569 0.09441730022430421 0.099284827709198
7 400.6681389478035 0.08725785327619977 0.09139864712953567 0.09466388662656149 0.09907981783151626
8 400.73893818538636 0.08487809549437629 0.08910877581437429 0.09310381283362706 0.09749967277050019
9 400.8170191179961 0.08380261401997673 0.0881146651605765 0.09211837857961654 0.09645551562309265
10 401.02725057816133 0.08193999901082781 0.0863265386323134 0.08733951797087987 0.09177202805876732
11 400.7444669981487 0.08081167140934202 0.08521003825465838 0.08986330211162567 0.09448028430342674
12 400.7805175501853 0.07967668102184931 0.08421915693084399 0.08716831674178442 0.09231760144233704
13 400.7591803474352 0.0793770825796657 0.08386495978136857 0.08745668917894363 0.09237026497721672
14 401.08377840090543 0.07861813795566559 0.08319950364033381 0.08418286750713984 0.08913418009877205
15 400.78235643496737 0.07827109690507253 0.08280026265978813 0.08630135426918666 0.09153319478034973
16 400.5704897851683 0.0773215328388744 0.08195287743210793 0.08468764295180638 0.08925335049629211
17 401.89345775404945 0.07701919988791148 0.08164601682623228 0.08642839511235555 0.09085825130343438
18 401.8213043618016 0.07648865848779678 0.0811435936888059 0.08262905051310858 0.08777235448360443
19 401.7071749321185 0.07646856605344349 0.08108571129540602 0.0831953600049019 0.08864066541194916
20 401.7768976762891 0.07510462316539553 0.07980414684613546 0.08315834383169811 0.08855545222759247
21 401.74381383834407 17080.720956291643 54982.88459130654 5.636703554789225 6.7986297512054445
22 401.18883533170447 3.0511454836527503 3.4166425035794576 2.301383326848348 2.480882315635681
23 401.44754743017256 1.7846594627168442 1.9357789115905761 1.7105561765034993 1.9076636743545532
24 401.10815392713994 1.4003870034747654 1.5746810989379882 1.4044396416346234 1.6253875088691712
25 401.040488214232 1.180616655137804 1.3754706981976828 1.2336940828959146 1.4563205409049989
26 401.09186391718686 1.0457324380874635 1.2485022539297739 1.1046057176589965 1.3252346849441528
27 400.90291001973674 0.9352141021092732 1.138726602633794 0.9461254851023356 1.1690356063842773
28 400.6822901167907 0.8028813423580594 1.0041112294197083 0.749157985051473 0.9704821765422821
29 400.7519408110529 0.6726067776150173 0.8520392562548319 0.6346514924367269 0.8012145340442658
30 400.9533696072176 0.5747682656712002 0.7150627159277598 0.5262543678283692 0.648801417350769
31 400.719430600293 0.4973223249117533 0.5883935727675755 0.4618104004859924 0.5191185307502747
32 400.7512452369556 0.4219055448902978 0.46810923794905346 0.39180849273999535 0.41383886873722076
33 400.7138586807996 0.3543557153013017 0.3718824239571889 0.33032026171684264 0.3370569920539856
34 400.70247789332643 0.3084529259999593 0.3151280017097791 0.32624192516009015 0.3342171281576157
35 400.7878291970119 0.28345529683430987 0.28822118866443636 0.2854305930932363 0.2886062571406364
36 400.8113232050091 0.26505923289722866 0.2696584111650785 0.2664237360159556 0.2693283289670944
37 401.0368503648788 0.24985012782944574 0.2544970374306043 0.25807477871576945 0.26207987368106844
38 400.7675465368666 0.23664246654510498 0.24118479655186334 0.28638492425282797 0.2951368463039398
39 400.78205074416474 0.22780590850777097 0.23231058806180954 0.24724323948224383 0.2508348137140274
40 400.8002308779396 0.21053368328677283 0.2141600879629453 0.2235343877474467 0.22614698022603988
41 400.93049742421135 0.20064874806669022 0.20392837808529535 0.2859187893072764 0.2955939209461212
42 400.73551570484415 242739.14399804475 752265.0264565452 63.56730183919271 146.8818620300293
43 400.8029817957431 22.11407545132107 50.476768187204996 10.772625834147135 22.66183650970459
44 400.8340368391946 5.4780380296707145 11.490450072924297 3.6676793670654297 7.1797956418991085
45 400.77701803902164 1.846015798250834 3.2110826176802316 1.4270293029149375 2.1103657865524292
46 400.7430925969966 0.9306632843547398 1.2597056519587835 0.9433934617042542 1.186883375644684
47 400.5867876452394 0.6796498987939623 0.7974583399693171 0.7605823111534118 0.878745927810669
48 400.60973253985867 0.5835417367617289 0.6397550516923268 0.6736638124783835 0.7409161454439164
49 400.44046771992 0.536176015747918 0.5703210250536601 0.6205785536766052 0.6650249522924423
50 400.4657645956613 0.5023977658483717 0.5249174027442932 0.5806977121035258 0.6153204184770584
51 400.4523606300354 0.47366941372553506 0.4904552234808604 0.5419904851913452 0.5713326144218445
52 400.40463649109006 0.4454024426937104 0.4584117225408554 0.5044361233711242 0.5310065394639969
53 400.45186666585505 0.4198917387326559 0.4310536067088445 0.46861395915349324 0.49327482640743253
54 400.4529563980177 0.3950661438835992 0.4036641492843628 0.4352194857597351 0.45822204411029815
55 400.6538145057857 0.3722538367642297 0.3787910348176956 0.4040254886945089 0.4257667911052704
56 400.4133898601867 0.35144332438045073 0.3558983620007833 0.376302532752355 0.39693294942379
57 400.35636056028306 0.3332553457154168 0.3363589200377464 0.3508259010314942 0.3647256278991699
58 400.3734215949662 0.31674638817045425 0.3190214234987895 0.32844665090243025 0.33689241141080856
59 400.58785968180746 0.30159560232692295 0.3034446577231089 0.3105522906780243 0.31652110487222673
60 400.44321757089347 0.2872070021099514 0.28855212932825086 0.2966155429681142 0.3010158908367157
61 400.38178360974416 0.27294680168893604 0.2739910603562991 0.2830618703365326 0.28706866890192034
62 400.37933154124767 0.25730318885379366 0.25817522291342415 0.26778896689414977 0.27024022608995435
63 400.3994628973305 0.23939793520503574 0.24017176884412766 0.24821922222773232 0.2502816617488861
64 400.4104869789444 0.21895530296696555 0.2196776766180992 0.23233359098434447 0.2335228541493416
65 400.3977478877641 0.19819919629891714 0.19888856454690299 0.20840517302354178 0.20940200865268707
66 400.5719277476892 0.1813833725717333 0.18205767373243967 0.192677916487058 0.19349445879459382
67 400.3619078830816 0.16988592659102544 0.17058512071768442 0.18503073394298553 0.18591080814599992
68 400.38714348105714 0.16066723059283364 0.16143218277891477 0.1780422560373942 0.17897608682513236
69 400.3527180929668 0.15403604063722823 0.1549065326253573 0.16845454235871635 0.16951743483543397
70 400.5847154278308 0.14726182458135817 0.14823408653338752 0.17020250201225282 0.17158157825469972
71 400.4019949622452 0.14268894810146757 0.14379851004481314 0.15680627683798473 0.15822959840297698
72 400.4478993280791 0.13914678512679204 0.14044408918420473 0.15071159680684407 0.15255536258220673
73 400.37272316403687 0.1346450695461697 0.1362137160897255 0.14956681589285534 0.15175278022885322
74 400.3956965780817 0.13065189238389333 0.13252330727378528 0.14641109983126324 0.14881834760308266
75 400.40376321878284 0.12508932076560128 0.1272405855456988 0.13524921079476673 0.13817323610186577
76 400.4025474032387 0.11978566494252946 0.12199434280395507 0.13281252702077231 0.13595832034945488
77 400.651472826954 0.11672549739148881 0.11892350822687149 0.13026662449042 0.13361695677042007
78 400.381537723355 0.11340818088584476 0.11561725497245788 0.12441355268160502 0.1269625574350357
79 400.3836117601022 0.11165814271900389 0.11383422883351643 0.1301491798957189 0.13304642572999
80 400.38185637723655 0.10911183889044655 0.11125276864568392 0.12165473918120066 0.12384017333388328
81 400.59880920825526 0.10728864506880442 0.10947394625345866 0.11894869863986969 0.12198759377002716
82 400.41447262186557 0.10528434448109732 0.10748670003811518 0.11939456045627594 0.12206599414348603
83 400.39963702391833 0.10325076816479366 0.10549627435207366 0.1117032794157664 0.11453402981162071
84 400.41654168022797 0.10184199751085705 0.1041790764927864 0.11190362373987833 0.11429473295807839
85 400.3861151118763 0.09983976246913275 0.10221025270223617 0.10930633207162221 0.11182358711957932
86 400.421046835836 0.09945052783356773 0.1018939688106378 0.10826845477024714 0.11134913727641106
87 400.3907052720897 0.0970813596977128 0.09966716273625692 0.10187736382087072 0.10485364258289337
88 400.59530514199287 0.09482993212011126 0.09755659415324529 0.10211503962675732 0.10534878730773926
89 400.3960282616317 0.09316186751259697 0.09599819445610046 0.09890806764364242 0.10219788357615471
90 400.3540080511011 0.09125933550463783 0.09420033971468608 0.09975677887598673 0.10310408055782318
